Titles	Genres
Home for the Holidays (1995)[(9, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Friday (1995)[(6, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
From Dusk Till Dawn (1996)[(7, 0.9829999804496765), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Screamers (1995)[(8, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Antonia's Line (Antonia) (1995)[(5, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (6, 0.0020000000949949026)]	fantasy
Black Sheep (1996)[(1, 0.9919999837875366), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Broken Arrow (1996)[(6, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Happy Gilmore (1996)[(5, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Bridges of Madison County, The (1995)[(3, 0.9750000238418579), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (4, 0.003000000026077032)]	romance
Braveheart (1995)[(4, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	action
Birdcage, The (1996)[(5, 0.9959999918937683)]	comedy
Bad Boys (1995)[(7, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Batman Forever (1995)[(3, 0.996999979019165)]	action
Congo (1995)[(8, 0.996999979019165)]	action
Desperado (1995)[(2, 0.996999979019165)]	action
Die Hard: With a Vengeance (1995)[(8, 0.9980000257492065)]	action
Hackers (1995)[(8, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Judge Dredd (1995)[(7, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Mallrats (1995)[(1, 0.9779999852180481), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032), (9, 0.003000000026077032)]	comedy
Net, The (1995)[(3, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	action
Nine Months (1995)[(5, 0.9869999885559082), (1, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
Strange Days (1995)[(6, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Under Siege 2: Dark Territory (1995)[(8, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Walk in the Clouds, A (1995)[(4, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Waterworld (1995)[(6, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Before Sunrise (1995)[(3, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	romance
Billy Madison (1995)[(3, 0.9959999918937683)]	comedy
Clerks (1994)[(8, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
Don Juan DeMarco (1995)[(5, 0.9800000190734863), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	fantasy
Dumb & Dumber (Dumb and Dumber) (1994)[(5, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Exotica (1994)[(6, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
French Kiss (1995)[(8, 0.984000027179718), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Heavenly Creatures (1994)[(9, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
I.Q. (1994)[(0, 0.9879999756813049), (5, 0.0020000000949949026), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Interview with the Vampire: The Vampire Chronicles (1994)[(8, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	fantasy
Star Wars: Episode IV - A New Hope (1977)[(2, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Little Women (1994)[(5, 0.5239999890327454), (1, 0.4699999988079071), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Major Payne (1995)[(8, 0.9959999918937683), (5, 0.0010000000474974513)]	comedy
Milk Money (1994)[(0, 0.9959999918937683)]	comedy
Pulp Fiction (1994)[(3, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Swan Princess, The (1994)[(4, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026)]	animation
Stargate (1994)[(4, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	sci-fi
Santa Clause, The (1994)[(6, 0.9980000257492065)]	fantasy
Shawshank Redemption, The (1994)[(8, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Tommy Boy (1995)[(4, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Muriel's Wedding (1994)[(9, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Ace Ventura: Pet Detective (1994)[(8, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Clear and Present Danger (1994)[(0, 0.6930000185966492), (9, 0.2919999957084656), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Crow, The (1994)[(0, 0.9950000047683716), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513)]	romance
Flintstones, The (1994)[(2, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	comedy
Forrest Gump (1994)[(1, 0.996999979019165)]	comedy
Four Weddings and a Funeral (1994)[(9, 0.9100000262260437), (8, 0.08299999684095383), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	romance
It Could Happen to You (1994)[(1, 0.9959999918937683), (5, 0.0010000000474974513)]	comedy
Lion King, The (1994)[(1, 0.9950000047683716), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Mask, The (1994)[(9, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026)]	comedy
Maverick (1994)[(1, 0.9850000143051147), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Naked Gun 33 1/3: The Final Insult (1994)[(2, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513)]	comedy
Richie Rich (1994)[(4, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	comedy
Speed (1994)[(0, 0.9819999933242798), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	action
True Lies (1994)[(2, 0.9959999918937683), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (6, 0.0010000000474974513)]	action
Bad Company (1995)[(5, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (6, 0.0020000000949949026)]	action
Street Fighter (1994)[(9, 0.996999979019165)]	action
Airheads (1994)[(6, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Air Up There, The (1994)[(9, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Beverly Hills Cop III (1994)[(3, 0.9990000128746033)]	comedy
Blown Away (1994)[(9, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Carlito's Way (1993)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Dave (1993)[(4, 0.996999979019165)]	comedy
Demolition Man (1993)[(6, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Fugitive, The (1993)[(0, 0.9959999918937683)]	action
Hard Target (1993)[(2, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Hot Shots! Part Deux (1993)[(1, 0.9869999885559082), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)[(0, 0.9950000047683716), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Hudsucker Proxy, The (1994)[(3, 0.9959999918937683)]	comedy
Jurassic Park (1993)[(5, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Last Action Hero (1993)[(5, 0.9959999918937683)]	fantasy
Much Ado About Nothing (1993)[(7, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Mrs. Doubtfire (1993)[(7, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Next Karate Kid, The (1994)[(1, 0.9950000047683716), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	romance
Ref, The (1994)[(7, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026)]	comedy
Remains of the Day, The (1993)[(6, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Robin Hood: Men in Tights (1993)[(6, 0.9959999918937683), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (9, 0.0010000000474974513)]	comedy
Sleepless in Seattle (1993)[(1, 0.984000027179718), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Blade Runner (1982)[(9, 0.996999979019165)]	sci-fi
So I Married an Axe Murderer (1993)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Super Mario Bros. (1993)[(1, 0.984000027179718), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	comedy
Threesome (1994)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Nightmare Before Christmas, The (1993)[(4, 0.9829999804496765), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	animation
True Romance (1993)[(1, 0.9980000257492065)]	romance
Welcome to the Dollhouse (1995)[(2, 0.9959999918937683), (5, 0.0010000000474974513)]	comedy
Brady Bunch Movie, The (1995)[(1, 0.9929999709129333), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Home Alone (1990)[(6, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	comedy
Ghost (1990)[(6, 0.9959999918937683), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513), (9, 0.0010000000474974513)]	romance
Aladdin (1992)[(1, 0.5189999938011169), (4, 0.4790000021457672)]	animation
Terminator 2: Judgment Day (1991)[(6, 0.996999979019165)]	sci-fi
Batman (1989)[(9, 0.996999979019165)]	action
Silence of the Lambs, The (1991)[(3, 0.9959999918937683), (5, 0.0010000000474974513)]	action
Snow White and the Seven Dwarfs (1937)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Beauty and the Beast (1991)[(0, 0.9919999837875366), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Pinocchio (1940)[(0, 0.9800000190734863), (5, 0.003000000026077032), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	fantasy
Pretty Woman (1990)[(8, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	romance
One Fine Day (1996)[(4, 0.9959999918937683)]	romance
Heavy Metal (1981)[(8, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Aristocats, The (1970)[(6, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
All Dogs Go to Heaven 2 (1996)[(6, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (5, 0.0010000000474974513)]	animation
Mission: Impossible (1996)[(0, 0.9800000190734863), (5, 0.003000000026077032), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Dragonheart (1996)[(1, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	fantasy
James and the Giant Peach (1996)[(2, 0.9879999756813049), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Kids in the Hall: Brain Candy (1996)[(2, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Mystery Science Theater 3000: The Movie (1996)[(5, 0.9800000190734863), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Space Jam (1996)[(4, 0.996999979019165)]	animation
Barbarella (1968)[(6, 0.996999979019165)]	sci-fi
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)[(1, 0.9860000014305115), (0, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026)]	sci-fi
Visitors, The (Visiteurs, Les) (1993)[(2, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Wallace & Gromit: The Best of Aardman Animation (1996)[(4, 0.9700000286102295), (1, 0.004000000189989805), (5, 0.004000000189989805), (0, 0.003000000026077032), (2, 0.003000000026077032)]	comedy
Cold Comfort Farm (1995)[(8, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Rock, The (1996)[(0, 0.9990000128746033)]	action
Twister (1996)[(6, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (0, 0.0010000000474974513), (2, 0.0010000000474974513)]	action
Ghost in the Shell (Kôkaku kidôtai) (1995)[(6, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	sci-fi
Wallace & Gromit: A Close Shave (1995)[(4, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	animation
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)[(0, 0.527999997138977), (3, 0.4699999988079071)]	comedy
Jack (1996)[(1, 0.9950000047683716), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
Independence Day (a.k.a. ID4) (1996)[(1, 0.9980000257492065)]	sci-fi
Kingpin (1996)[(8, 0.996999979019165)]	comedy
Eraser (1996)[(4, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	action
Nutty Professor, The (1996)[(9, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Daylight (1996)[(2, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513)]	action
Fled (1996)[(0, 0.9940000176429749), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Ransom (1996)[(5, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
High School High (1996)[(6, 0.9919999837875366), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Matilda (1996)[(5, 0.996999979019165)]	comedy
Emma (1996)[(4, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
Mother Night (1996)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	romance
Singin' in the Rain (1952)[(0, 0.9779999852180481), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	comedy
Breakfast at Tiffany's (1961)[(3, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (4, 0.0020000000949949026)]	romance
Vertigo (1958)[(0, 0.9950000047683716), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	romance
Apartment, The (1960)[(1, 0.9990000128746033)]	romance
Some Like It Hot (1959)[(9, 0.9869999885559082), (1, 0.0020000000949949026), (5, 0.0020000000949949026), (6, 0.0020000000949949026), (0, 0.0010000000474974513)]	comedy
Charade (1963)[(3, 0.9990000128746033)]	romance
Casablanca (1942)[(2, 0.9959999918937683)]	romance
My Fair Lady (1964)[(1, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	romance
Sabrina (1954)[(7, 0.996999979019165)]	romance
Roman Holiday (1953)[(4, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	romance
Wizard of Oz, The (1939)[(0, 0.9940000176429749), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	fantasy
Gone with the Wind (1939)[(8, 0.9959999918937683), (1, 0.0010000000474974513), (5, 0.0010000000474974513)]	romance
2001: A Space Odyssey (1968)[(7, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	sci-fi
Notorious (1946)[(5, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026)]	romance
Gigi (1958)[(7, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	romance
Laura (1944)[(4, 0.9739999771118164), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (3, 0.003000000026077032)]	romance
Ghost and Mrs. Muir, The (1947)[(5, 0.9980000257492065)]	romance
Lost Horizon (1937)[(4, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
To Be or Not to Be (1942)[(1, 0.9909999966621399), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	comedy
My Man Godfrey (1936)[(7, 0.9769999980926514), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	comedy
Thin Man, The (1934)[(4, 0.996999979019165)]	comedy
His Girl Friday (1940)[(6, 0.9990000128746033)]	comedy
It's a Wonderful Life (1946)[(8, 0.9779999852180481), (1, 0.003000000026077032), (3, 0.003000000026077032), (5, 0.003000000026077032), (6, 0.003000000026077032)]	fantasy
Bringing Up Baby (1938)[(6, 0.9990000128746033)]	comedy
African Queen, The (1951)[(7, 0.9980000257492065)]	romance
Maximum Risk (1996)[(4, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Last Man Standing (1996)[(0, 0.9879999756813049), (5, 0.0020000000949949026), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Cool Runnings (1993)[(2, 0.9800000190734863), (5, 0.003000000026077032), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026)]	comedy
Cinderella (1950)[(9, 0.9980000257492065)]	animation
Winnie the Pooh and the Blustery Day (1968)[(0, 0.9980000257492065)]	animation
Sword in the Stone, The (1963)[(3, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Robin Hood: Prince of Thieves (1991)[(3, 0.996999979019165)]	comedy
Mary Poppins (1964)[(2, 0.9929999709129333), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Dumbo (1941)[(3, 0.9819999933242798), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (4, 0.0020000000949949026)]	animation
Pete's Dragon (1977)[(5, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Alice in Wonderland (1951)[(4, 0.9739999771118164), (0, 0.003000000026077032), (1, 0.003000000026077032), (2, 0.003000000026077032), (3, 0.003000000026077032)]	animation
Fox and the Hound, The (1981)[(3, 0.9909999966621399), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	animation
Die Hard (1988)[(8, 0.9900000095367432), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Long Kiss Goodnight, The (1996)[(2, 0.996999979019165)]	action
Everyone Says I Love You (1996)[(9, 0.578000009059906), (0, 0.4189999997615814), (5, 0.0010000000474974513)]	comedy
